first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,453,,35,20142,20082,8704,6619,7004280,128.72,5036.17,,"MULTILINESTRING ((-77.033628 38.900192,-77.033639 38.901323))"
first,453,,36,20082,20084,8515,6619,7004280,80.45,5116.62,,"MULTILINESTRING ((-77.033639 38.901323,-77.034609 38.901312))"
first,453,,37,20084,20443,8523,6619,7004280,160.9,5277.52,,"MULTILINESTRING ((-77.034609 38.901312,-77.036517 38.901311))"
first,453,,38,20443,20089,9701,6620,7004281,176.99,5454.51,,"MULTILINESTRING ((-77.036517 38.901311,-77.03851 38.901321))"
first,453,,39,20089,20098,8539,6620,7004281,80.45,5534.96,,"MULTILINESTRING ((-77.03851 38.901321,-77.039437 38.901302))"
first,453,,40,20098,20100,8570,6621,7004282,193.08,5728.04,,"MULTILINESTRING ((-77.039437 38.901302,-77.041707 38.901323))"
first,453,,41,20100,20112,8578,6621,7004282,144.81,5872.85,,"MULTILINESTRING ((-77.041707 38.901323,-77.043457 38.901322))"
first,454,,1,20124,5061,8647,6623,7004284,225.26,225.26,,"MULTILINESTRING ((-77.048816 38.902053,-77.050555 38.900622))"
first,454,,2,5061,20131,8079,6624,7004285,32.18,257.44,,"MULTILINESTRING ((-77.050555 38.900622,-77.050119 38.900683))"
first,454,,3,20131,20175,8670,6624,7004285,128.72,386.16,,"MULTILINESTRING ((-77.050119 38.900683,-77.050129 38.899562))"
first,454,,4,20175,20177,8813,6625,7004286,144.81,530.97,,"MULTILINESTRING ((-77.050129 38.899562,-77.050149 38.898321))"
first,454,,5,20177,20437,8822,6625,7004286,112.63,643.6,,"MULTILINESTRING ((-77.050149 38.898321,-77.050138 38.897363))"
first,455,,1,58,21866,159,6628,7004289,225.26,225.26,,"MULTILINESTRING ((-77.04843 38.897542,-77.048829 38.89956))"
first,455,,2,21866,56,14392,6632,7004293,193.08,418.34,,"MULTILINESTRING ((-77.048829 38.89956,-77.047484 38.90101))"
first,455,,3,56,20121,150,6632,7004293,112.63,530.97,,"MULTILINESTRING ((-77.047484 38.90101,-77.04617 38.901151))"
first,455,,4,20121,20132,8641,6632,7004293,128.72,659.69,,"MULTILINESTRING ((-77.04617 38.901151,-77.044908 38.900693))"
first,455,,5,20132,20135,8673,6632,7004293,128.72,788.41,,"MULTILINESTRING ((-77.044908 38.900693,-77.043488 38.900202))"
first,455,,6,20135,20136,8683,6633,7004294,160.9,949.31,,"MULTILINESTRING ((-77.043488 38.900202,-77.041717 38.900203))"
first,455,,7,20136,20137,8685,6634,7004295,193.08,1142.39,,"MULTILINESTRING ((-77.041717 38.900203,-77.03943 38.900203))"
first,455,,8,20137,20138,8688,6635,7004296,128.72,1271.11,,"MULTILINESTRING ((-77.03943 38.900203,-77.037978 38.900193))"
first,455,,9,20138,20139,8691,6635,7004296,128.72,1399.83,,"MULTILINESTRING ((-77.037978 38.900193,-77.036527 38.900193))"
first,455,,10,20139,20141,8694,6635,7004296,128.72,1528.55,,"MULTILINESTRING ((-77.036527 38.900193,-77.035108 38.900191))"
first,455,,11,20141,21861,8703,6635,7004296,80.45,1609,,"MULTILINESTRING ((-77.035108 38.900191,-77.035118 38.899483))"
first,455,,12,21861,20163,14378,6636,7004297,80.45,1689.45,,"MULTILINESTRING ((-77.035118 38.899483,-77.035128 38.898722))"
first,455,,13,20163,20160,8774,6636,7004297,128.72,1818.17,,"MULTILINESTRING ((-77.035128 38.898722,-77.033659 38.898791))"
first,455,,14,20160,20181,8767,6636,7004297,48.27,1866.44,,"MULTILINESTRING ((-77.033659 38.898791,-77.033659 38.898302))"
first,455,,15,20181,21606,8837,6636,7004297,112.63,1979.07,,"MULTILINESTRING ((-77.033659 38.898302,-77.033648 38.897311))"
first,455,,16,21606,20087,13591,6636,7004297,96.54,2075.61,,"MULTILINESTRING ((-77.033648 38.897311,-77.033655 38.896416))"
first,455,,17,20087,20190,8533,6636,7004297,112.63,2188.24,,"MULTILINESTRING ((-77.033655 38.896416,-77.033658 38.895472))"
first,455,,18,20190,20189,8866,6637,7004298,48.27,2236.51,,"MULTILINESTRING ((-77.033658 38.895472,-77.033085 38.895505))"
