agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry,old_agent_id
447,,10,20695,20723,10510,6513,7004174,0.11,1.15,,"MULTILINESTRING ((-77.072618 38.931843,-77.072409 38.933472))",215
447,,11,20723,20722,10606,6515,7004176,0.28,1.43,,"MULTILINESTRING ((-77.072409 38.933472,-77.073777 38.937301))",215
447,,12,20722,21554,10602,6515,7004176,0.06,1.49,,"MULTILINESTRING ((-77.073777 38.937301,-77.074259 38.938163))",215
447,,13,21554,21930,13426,6516,7004177,0.1,1.59,,"MULTILINESTRING ((-77.074259 38.938163,-77.07501 38.939563))",215
447,,14,21930,21931,14602,6517,7004178,0.2,1.79,,"MULTILINESTRING ((-77.07501 38.939563,-77.0765 38.942203))",215
447,,15,21931,20721,14603,6518,7004179,0.07,1.86,,"MULTILINESTRING ((-77.0765 38.942203,-77.077028 38.943161))",215
447,,16,20721,20358,10597,6518,7004179,0.06,1.92,,"MULTILINESTRING ((-77.077028 38.943161,-77.077458 38.943932))",215
447,,17,20358,21540,9423,6518,7004179,0.06,1.98,,"MULTILINESTRING ((-77.077458 38.943932,-77.077919 38.944783))",215
447,,18,21540,20719,13383,6519,7004180,0.12,2.1,,"MULTILINESTRING ((-77.077919 38.944783,-77.078406 38.946362))",215
447,,19,20719,20718,10591,6520,7004181,0.14,2.24,,"MULTILINESTRING ((-77.078406 38.946362,-77.079677 38.947901))",215
447,,20,20718,20717,10587,6520,7004181,0.06,2.3,,"MULTILINESTRING ((-77.079677 38.947901,-77.08009 38.948653))",215
447,,21,20717,20716,10584,6521,7004182,0.07,2.37,,"MULTILINESTRING ((-77.08009 38.948653,-77.080358 38.949672))",215
447,,22,20716,21543,10581,6523,7004184,0.26,2.63,,"MULTILINESTRING ((-77.080358 38.949672,-77.081916 38.953292))",215
447,,23,21543,20715,13392,6523,7004184,0.1,2.73,,"MULTILINESTRING ((-77.081916 38.953292,-77.082628 38.954681))",215
447,,24,20715,21546,10577,6524,7004185,0.17,2.9,,"MULTILINESTRING ((-77.082628 38.954681,-77.083798 38.956992))",215
449,,1,5094,26572,8140,6527,7004188,0.08,0.08,,"MULTILINESTRING ((-76.95665 38.850312,-76.95802 38.849752))",216
449,,2,26572,21352,21316,6531,7004192,0.32,0.4,,"MULTILINESTRING ((-76.95802 38.849752,-76.961948 38.851922))",216
449,,3,21352,20875,12777,6531,7004192,0.29,0.69,,"MULTILINESTRING ((-76.961948 38.851922,-76.965669 38.854743))",216
449,,4,20875,21349,11137,6532,7004193,0.17,0.86,,"MULTILINESTRING ((-76.965669 38.854743,-76.967237 38.856913))",216
449,,5,21349,21348,12769,6533,7004194,0.24,1.1,,"MULTILINESTRING ((-76.967237 38.856913,-76.968128 38.860203))",216
449,,6,21348,21347,12764,6533,7004194,0.1,1.2,,"MULTILINESTRING ((-76.968128 38.860203,-76.969356 38.861192))",216
449,,7,21347,21957,12762,6534,7004195,0.23,1.43,,"MULTILINESTRING ((-76.969356 38.861192,-76.970788 38.864223))",216
449,,8,21957,21336,14688,6535,7004196,0.15,1.58,,"MULTILINESTRING ((-76.970788 38.864223,-76.970169 38.866351))",216
