first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,80,,4,1575,32073,3718,1182,2000496,0.16,0.65,,"MULTILINESTRING ((-77.055991 38.834112,-77.058718 38.833232))"
first,80,,5,32073,32013,27739,1183,2000497,0.17,0.82,,"MULTILINESTRING ((-77.058718 38.833232,-77.059538 38.830903))"
first,80,,6,32013,32012,27542,1184,2000498,0.21,1.03,,"MULTILINESTRING ((-77.059538 38.830903,-77.058977 38.827902))"
first,80,,7,32012,32336,27541,1186,2000500,0.23,1.26,,"MULTILINESTRING ((-77.058977 38.827902,-77.058378 38.824673))"
first,80,,8,32336,32038,28459,1187,2000501,0.16,1.42,,"MULTILINESTRING ((-77.058378 38.824673,-77.057958 38.822372))"
first,80,,9,32038,32040,27621,1188,2000502,0.13,1.55,,"MULTILINESTRING ((-77.057958 38.822372,-77.057627 38.820571))"
first,80,,10,32040,32340,27628,1189,2000503,0.15,1.7,,"MULTILINESTRING ((-77.057627 38.820571,-77.060448 38.820312))"
first,80,,11,32340,32041,28472,1189,2000503,0.14,1.84,,"MULTILINESTRING ((-77.060448 38.820312,-77.063007 38.820082))"
first,80,,12,32041,32044,27632,1191,2000505,0.26,2.1,,"MULTILINESTRING ((-77.063007 38.820082,-77.062509 38.816283))"
first,82,,1,32222,32216,28214,1198,2000512,0.26,0.26,,"MULTILINESTRING ((-77.052718 38.794283,-77.051879 38.797982))"
first,82,,2,32216,32075,28203,1198,2000512,0.04,0.3,,"MULTILINESTRING ((-77.051879 38.797982,-77.051718 38.798613))"
first,82,,3,32075,32074,27743,1199,2000513,0.06,0.36,,"MULTILINESTRING ((-77.051718 38.798613,-77.050668 38.798474))"
first,82,,4,32074,32062,27741,1200,2000514,0.12,0.48,,"MULTILINESTRING ((-77.050668 38.798474,-77.048437 38.798192))"
first,82,,5,32062,32061,27700,1201,2000515,0.24,0.72,,"MULTILINESTRING ((-77.048437 38.798192,-77.043998 38.797633))"
first,82,,6,32061,32215,27699,1202,2000516,0.08,0.8,,"MULTILINESTRING ((-77.043998 38.797633,-77.043739 38.798803))"
first,82,,7,32215,32060,28200,1205,2000519,0.16,0.96,,"MULTILINESTRING ((-77.043739 38.798803,-77.043266 38.801082))"
first,82,,8,32060,32179,27696,1205,2000519,0.16,1.12,,"MULTILINESTRING ((-77.043266 38.801082,-77.042798 38.803372))"
first,82,,9,32179,32059,28083,1205,2000519,0.08,1.2,,"MULTILINESTRING ((-77.042798 38.803372,-77.042539 38.804493))"
first,82,,10,32059,32166,27693,1206,2000520,0.08,1.28,,"MULTILINESTRING ((-77.042539 38.804493,-77.042297 38.805632))"
first,82,,11,32166,32057,28045,1206,2000520,0.08,1.36,,"MULTILINESTRING ((-77.042297 38.805632,-77.042049 38.806772))"
first,82,,12,32057,32056,27685,1208,2000522,0.24,1.6,,"MULTILINESTRING ((-77.042049 38.806772,-77.041328 38.810183))"
first,82,,13,32056,32052,27682,1209,2000523,0.08,1.68,,"MULTILINESTRING ((-77.041328 38.810183,-77.041069 38.811311))"
first,82,,14,32052,32208,27670,1210,2000524,0.08,1.76,,"MULTILINESTRING ((-77.041069 38.811311,-77.040817 38.812454))"
first,82,,15,32208,32051,28172,1211,2000525,0.08,1.84,,"MULTILINESTRING ((-77.040817 38.812454,-77.040589 38.813582))"
first,84,,1,32158,32083,28019,1220,2000534,0.06,0.06,,"MULTILINESTRING ((-77.054128 38.812761,-77.053279 38.812273))"
first,84,,2,32083,32365,27777,1220,2000534,0.04,0.1,,"MULTILINESTRING ((-77.053279 38.812273,-77.053139 38.812852))"
first,84,,3,32365,1596,28544,1221,2000535,0.17,0.27,,"MULTILINESTRING ((-77.053139 38.812852,-77.051171 38.814712))"
first,84,,4,1596,32366,3786,1224,2000538,0.15,0.42,,"MULTILINESTRING ((-77.051171 38.814712,-77.048887 38.815852))"
first,84,,5,32366,1580,28547,1223,2000537,0.23,0.65,,"MULTILINESTRING ((-77.048887 38.815852,-77.046587 38.818643))"
first,84,,6,1580,32206,3731,1224,2000538,0.13,0.78,,"MULTILINESTRING ((-77.046587 38.818643,-77.044196 38.818531))"
first,84,,7,32206,32207,28169,1225,2000539,0.13,0.91,,"MULTILINESTRING ((-77.044196 38.818531,-77.041859 38.818184))"
first,84,,8,32207,32051,28170,1230,2000544,0.42,1.33,,"MULTILINESTRING ((-77.041859 38.818184,-77.040589 38.813582))"
first,84,,9,32051,32208,27666,1231,2000545,0.08,1.41,,"MULTILINESTRING ((-77.040589 38.813582,-77.040817 38.812454))"
first,84,,10,32208,32052,28173,1232,2000546,0.08,1.49,,"MULTILINESTRING ((-77.040817 38.812454,-77.041069 38.811311))"
first,84,,11,32052,32056,27668,1232,2000546,0.08,1.57,,"MULTILINESTRING ((-77.041069 38.811311,-77.041328 38.810183))"
first,84,,12,32056,32057,27683,1234,2000548,0.24,1.81,,"MULTILINESTRING ((-77.041328 38.810183,-77.042049 38.806772))"
first,84,,13,32057,32166,27686,1235,2000549,0.08,1.89,,"MULTILINESTRING ((-77.042049 38.806772,-77.042297 38.805632))"
first,84,,14,32166,32059,28046,1235,2000549,0.08,1.97,,"MULTILINESTRING ((-77.042297 38.805632,-77.042539 38.804493))"
first,84,,15,32059,32179,27694,1235,2000549,0.08,2.05,,"MULTILINESTRING ((-77.042539 38.804493,-77.042798 38.803372))"
first,84,,16,32179,32060,28084,1235,2000549,0.16,2.21,,"MULTILINESTRING ((-77.042798 38.803372,-77.043266 38.801082))"
first,84,,17,32060,32215,27697,1235,2000549,0.16,2.37,,"MULTILINESTRING ((-77.043266 38.801082,-77.043739 38.798803))"
first,85,,1,32180,32181,28087,1241,2000555,0.12,0.12,,"MULTILINESTRING ((-77.048209 38.799331,-77.050399 38.799632))"
